"agent_id","risk_tier","catalog_risk_source","risk_drivers","review_level"
"AG-ADM-0052","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0053","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0054","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0055","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0056","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0057","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0058","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0059","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0060","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0061","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0062","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0063","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0064","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0065","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0066","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0067","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0068","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0069","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0070","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0071","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0072","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0073","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0074","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0075","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0076","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0077","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0078","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0079","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0080","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0081","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0082","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0083","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0084","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0085","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0086","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0087","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0088","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0089","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0090","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0091","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0092","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0093","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0094","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0095","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0096","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;COORDINATION_DOMAIN","DOMAIN_REVIEW"
"AG-ADM-0097","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0098","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0099","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0100","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0101","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0102","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0103","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0104","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0105","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0106","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0107","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0108","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0109","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0110","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0111","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0112","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0113","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0114","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0115","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0116","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0117","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0118","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0119","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0120","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0121","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0122","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0123","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0124","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0125","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0126","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0127","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0128","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0129","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0130","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0131","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;COORDINATION_DOMAIN","DOMAIN_REVIEW"
"AG-ADM-0132","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0133","HIGH","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_HIGH;DATA_ADMINISTRATIVE_DATA","DOMAIN_SECURITY_PRIVACY_REVIEW"
"AG-ADM-0134","HIGH","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_HIGH;DATA_ADMINISTRATIVE_DATA","DOMAIN_SECURITY_PRIVACY_REVIEW"
"AG-ADM-0135","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0136","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0137","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0138","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0139","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0140","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0141","HIGH","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_HIGH;DATA_ADMINISTRATIVE_DATA","DOMAIN_SECURITY_PRIVACY_REVIEW"
"AG-ADM-0142","HIGH","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_HIGH;DATA_ADMINISTRATIVE_DATA","DOMAIN_SECURITY_PRIVACY_REVIEW"
"AG-ADM-0143","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0144","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0145","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0146","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0147","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0148","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0149","HIGH","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_HIGH;DATA_ADMINISTRATIVE_DATA","DOMAIN_SECURITY_PRIVACY_REVIEW"
"AG-ADM-0150","HIGH","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_HIGH;DATA_ADMINISTRATIVE_DATA","DOMAIN_SECURITY_PRIVACY_REVIEW"
"AG-ADM-0151","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0152","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0153","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0154","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0155","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0156","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0157","HIGH","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_HIGH;DATA_ADMINISTRATIVE_DATA","DOMAIN_SECURITY_PRIVACY_REVIEW"
"AG-ADM-0158","HIGH","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_HIGH;DATA_ADMINISTRATIVE_DATA","DOMAIN_SECURITY_PRIVACY_REVIEW"
"AG-ADM-0159","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0160","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0161","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0162","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA","DOMAIN_REVIEW"
"AG-ADM-0163","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0164","MODERATE","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_MODERATE;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_REVIEW"
"AG-ADM-0165","HIGH","AGENT_CATALOG_MASTER_v1.risk_level","CATALOG_RISK_HIGH;DATA_ADMINISTRATIVE_DATA;TOOLS_READ_ONLY_TOOLS","DOMAIN_SECURITY_PRIVACY_REVIEW"
