"family_prompt_id","canonical_family_name","surface","domain","member_count","risk_range","base_authority","base_data_ceiling","base_tool_ceiling","base_memory_ceiling","member_data_classes","member_tool_classes","member_memory_scopes","required_modules","exceptions","owner","status"
"FAM-ADMINISTRATION-ANALYTICS-ATTRIBUTION-ANALYSIS-v1","attribution_analysis","ADMINISTRATION","analytics","7","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-ANALYTICS-ATTRIBUTION-ANALYSIS-v1","NONE","AG-ADM-0466","APPROVED"
"FAM-ADMINISTRATION-ANALYTICS-BUSINESS-ANALYTICS-v1","business_analytics","ADMINISTRATION","analytics","7","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK;SURFACE_MEMORY","MOD-ADMINISTRATION-ANALYTICS-BUSINESS-ANALYTICS-v1","NONE","AG-ADM-0001","APPROVED"
"FAM-ADMINISTRATION-ANALYTICS-DECISION-INTELLIGENCE-v1","decision_intelligence","ADMINISTRATION","analytics","7","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-ANALYTICS-DECISION-INTELLIGENCE-v1","NONE","AG-ADM-0466","APPROVED"
"FAM-ADMINISTRATION-ANALYTICS-OPERATIONAL-REPORTING-v1","operational_reporting","ADMINISTRATION","analytics","7","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-ANALYTICS-OPERATIONAL-REPORTING-v1","NONE","AG-ADM-0466","APPROVED"
"FAM-ADMINISTRATION-ANALYTICS-PRODUCT-ANALYTICS-v1","product_analytics","ADMINISTRATION","analytics","7","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-ANALYTICS-PRODUCT-ANALYTICS-v1","NONE","AG-ADM-0466","APPROVED"
"FAM-ADMINISTRATION-CATALOG-CONTENT-AGENT-CATALOG-OPERATIONS-v1","agent_catalog_operations","ADMINISTRATION","catalog_content","7","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK;SURFACE_MEMORY","MOD-ADMINISTRATION-CATALOG-CONTENT-AGENT-CATALOG-OPERATIONS-v1","NONE","AG-ADM-0001","APPROVED"
"FAM-ADMINISTRATION-CATALOG-CONTENT-CONTENT-GOVERNANCE-v1","content_governance","ADMINISTRATION","catalog_content","7","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-CATALOG-CONTENT-CONTENT-GOVERNANCE-v1","NONE","AG-ADM-0431","APPROVED"
"FAM-ADMINISTRATION-CATALOG-CONTENT-CONTENT-LIFECYCLE-v1","content_lifecycle","ADMINISTRATION","catalog_content","7","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-CATALOG-CONTENT-CONTENT-LIFECYCLE-v1","NONE","AG-ADM-0431","APPROVED"
"FAM-ADMINISTRATION-CATALOG-CONTENT-EDITORIAL-QUALITY-v1","editorial_quality","ADMINISTRATION","catalog_content","7","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-CATALOG-CONTENT-EDITORIAL-QUALITY-v1","NONE","AG-ADM-0431","APPROVED"
"FAM-ADMINISTRATION-CATALOG-CONTENT-TAXONOMY-OPERATIONS-v1","taxonomy_operations","ADMINISTRATION","catalog_content","7","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-CATALOG-CONTENT-TAXONOMY-OPERATIONS-v1","NONE","AG-ADM-0431","APPROVED"
"FAM-ADMINISTRATION-CRM-SEARCH-SOCIAL-INFLUENCE-COMMUNITY-GROWTH-v1","community_growth","ADMINISTRATION","crm_search_social_influence","6","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-CRM-SEARCH-SOCIAL-INFLUENCE-COMMUNITY-GROWTH-v1","NONE","AG-ADM-0631","APPROVED"
"FAM-ADMINISTRATION-CRM-SEARCH-SOCIAL-INFLUENCE-CRM-v1","crm","ADMINISTRATION","crm_search_social_influence","6","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK;SURFACE_MEMORY","MOD-ADMINISTRATION-CRM-SEARCH-SOCIAL-INFLUENCE-CRM-v1","NONE","AG-ADM-0001","APPROVED"
"FAM-ADMINISTRATION-CRM-SEARCH-SOCIAL-INFLUENCE-INFLUENCER-PROGRAMS-v1","influencer_programs","ADMINISTRATION","crm_search_social_influence","6","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-CRM-SEARCH-SOCIAL-INFLUENCE-INFLUENCER-PROGRAMS-v1","NONE","AG-ADM-0631","APPROVED"
"FAM-ADMINISTRATION-CRM-SEARCH-SOCIAL-INFLUENCE-SEO-v1","seo","ADMINISTRATION","crm_search_social_influence","6","MODERATE","DOCUMENTARY_ONLY_DENY_BY_DEFAULT","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","DENY_BY_DEFAULT_IDENTITY_BOUND","ADMINISTRATIVE_DATA","NO_TOOLS;READ_ONLY_TOOLS","EPHEMERAL_TASK","MOD-ADMINISTRATION-CRM-SEARCH-SOCIAL-INFLUENCE-SEO-v1","NONE","AG-ADM-0631","APPROVED"
