historical_agent_name,historical_file,catalog_agent_id,catalog_canonical_name,surface,domain,family,historical_prompt_status,migration_decision,prompt_reusability,refoundation_alignment,contradictions,obsolete_sections,missing_sections,security_risks,authority_risks,tooling_assumptions,memory_assumptions,runtime_assumptions,recommended_action,target_wave,review_status,notes
Director de Proyecto,01_DIRECTOR_DE_PROYECTO.md,AG-TRV-0002,historical.director_de_proyecto,TRANSVERSAL,historical_capabilities,director_de_proyecto,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,Broad blocking and coordination language could be interpreted as execution authority unless approval and enforcement boundaries are explicit.,"Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_2.",WAVE_2,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Product Owner,02_PRODUCT_OWNER.md,AG-PRO-0002,historical.product_owner,PRODUCT,historical_capabilities,product_owner,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,Broad blocking and coordination language could be interpreted as execution authority unless approval and enforcement boundaries are explicit.,"Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_4.",WAVE_4,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Scrum Master / Facilitador,03_SCRUM_MASTER_FACILITADOR.md,AG-TRV-0003,historical.scrum_master_facilitador,TRANSVERSAL,historical_capabilities,scrum_master_facilitador,PROMPT_CREATED,RECLASSIFY,PARTIALLY_REUSABLE,REQUIRES_RECLASSIFICATION,Historical surface classification conflicts with the approved Re-foundation ownership model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,Broad blocking and coordination language could be interpreted as execution authority unless approval and enforcement boundaries are explicit.,"Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Reclassify ownership first, then extract reusable role content into a new layered prompt during WAVE_2.",WAVE_2,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Documentador Técnico,04_DOCUMENTADOR_TECNICO.md,AG-DEV-0002,historical.documentador_t_cnico,DEVELOPMENT,historical_capabilities,documentador_t_cnico,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_5.",WAVE_5,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Revisor de Coherencia del Producto,05_REVISOR_DE_COHERENCIA_DEL_PRODUCTO.md,AG-PRO-0003,historical.revisor_de_coherencia_del_producto,PRODUCT,historical_capabilities,revisor_de_coherencia_del_producto,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_4.",WAVE_4,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
UX Researcher,06_UX_RESEARCHER.md,AG-PRO-0004,historical.ux_researcher,PRODUCT,historical_capabilities,ux_researcher,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_4.",WAVE_4,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
UI Designer,07_UI_DESIGNER.md,AG-PRO-0005,historical.ui_designer,PRODUCT,historical_capabilities,ui_designer,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_4.",WAVE_4,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista en Experiencia Conversacional,08_ESPECIALISTA_EN_EXPERIENCIA_CONVERSACIONAL.md,AG-PRO-0006,historical.especialista_en_experiencia_conversacional,PRODUCT,historical_capabilities,especialista_en_experiencia_conversacional,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_4.",WAVE_4,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista en Accesibilidad,09_ESPECIALISTA_EN_ACCESIBILIDAD.md,AG-PRO-0007,historical.especialista_en_accesibilidad,PRODUCT,historical_capabilities,especialista_en_accesibilidad,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_4.",WAVE_4,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
Especialista en Internacionalización,10_ESPECIALISTA_EN_INTERNACIONALIZACION.md,AG-PRO-0008,historical.especialista_en_internacionalizaci_n,PRODUCT,historical_capabilities,especialista_en_internacionalizaci_n,PROMPT_CREATED,MIGRATE_AND_UPDATE,MOSTLY_REUSABLE,REQUIRES_MAJOR_UPDATE,Fixed committee framing and duplicated global policy conflict with the extensible catalog and layered prompt model.,Perfil AAA framing; fixed committee membership; repeated global Stasisly context; direct Codex operational controls.,"Canonical metadata; shared-layer references; independent schema, prompt, runtime and evaluation versions; approval evidence; evaluation binding.",No explicit runtime data or tool binding; future prompt must inherit deny-by-default security and privacy layers.,"Review and recommendation language requires an explicit statement that catalog role, advice and runtime authority are separate.","Assumes review, research or analytics capabilities without a ToolBinding contract.",Federated memory is discussed conceptually without a versioned runtime memory binding or provisioned scope.,"The text describes intended capabilities but contains no approved runtime configuration, availability evidence or executable grant.","Extract agent-specific role content, replace obsolete shared text, and migrate through P0-P14 during WAVE_4.",WAVE_4,AUDITED_PLANNING_ONLY,"Historical source remains unmodified and non-normative. Prompt is not approved, configured, tested or available."
