agent_id,canonical_name,display_name,surface,domain,family,area,subarea,specialty,subspecialty,function,short_mission,agent_type,coordination_level,reports_to,coordinates,activation_mode,availability,risk_level,data_access_class,tool_access_class,memory_scope,human_escalation,prompt_status,implementation_status,historical_mapping,lifecycle_status,version,notes
"AG-PRO-0001","stasis","Stasis","PRODUCT","product_coordination","stasis","PRODUCT","","","","coordinate_surface","Coordinates PRODUCT priorities, bounded decisions, cross-domain handoffs, risk escalation, and traceable evidence without acquiring authority beyond approved policy.","SURFACE_COORDINATOR","SURFACE","AG-TRV-0001","AG-PRO-0002;AG-PRO-0003;AG-PRO-0004;AG-PRO-0005;AG-PRO-0006;AG-PRO-0007;AG-PRO-0008;AG-PRO-0009;AG-PRO-0010;AG-PRO-0011;AG-PRO-0071;AG-PRO-0521;AG-PRO-0671;AG-PRO-0821;AG-PRO-0941;AG-PRO-0976;AG-PRO-1001;AG-PRO-1021;AG-PRO-1036;AG-PRO-1046","HUMAN_REQUESTED","NOT_AVAILABLE","CRITICAL","SURFACE_SCOPED_DATA","MUTATING_TOOLS_WITH_APPROVAL","SURFACE_MEMORY","FOUNDER_APPROVAL_REQUIRED","PROMPT_CREATED","DOCUMENTED_ONLY","NONE","PROMPT_CREATED","1.0.0","Wave 1 documentary prompt approved; runtime, authority, tools, and memory are not provisioned."
"AG-PRO-0002","historical.product_owner","Product Owner","PRODUCT","historical_capabilities","product_owner","PRODUCT","","","","historical_prompt_migration","Preserves and updates the historical Product Owner capability for PRODUCT under Re-foundation boundaries, evidence, testing, and human approval.","PLANNER","INDIVIDUAL_CONTRIBUTOR","AG-PRO-0001","","HUMAN_REQUESTED","NOT_AVAILABLE","LOW","USER_SCOPED_DATA","NO_TOOLS","NONE","REQUIRED_BEFORE_REFOUNDATION_ACTIVATION","PROMPT_CREATED","DOCUMENTED_ONLY","docs/archive/discovery/stasisly_definition/agents/02_PRODUCT_OWNER.md","PROMPT_CREATED","1.0.0","MIGRATE_AND_UPDATE; canonical documentary prompt approved; historical source b9691674949037bdbff18130f3dec71f6926f642 remains unchanged."
"AG-PRO-0003","historical.revisor_de_coherencia_del_producto","Revisor de Coherencia del Producto","PRODUCT","historical_capabilities","revisor_de_coherencia_del_producto","PRODUCT","","","","historical_prompt_migration","Preserves and updates the historical Revisor de Coherencia del Producto capability for PRODUCT under Re-foundation boundaries, evidence, testing, and human approval.","REVIEWER","INDIVIDUAL_CONTRIBUTOR","AG-PRO-0001","","HUMAN_REQUESTED","NOT_AVAILABLE","LOW","USER_SCOPED_DATA","NO_TOOLS","NONE","REQUIRED_BEFORE_REFOUNDATION_ACTIVATION","PROMPT_CREATED","DOCUMENTED_ONLY","docs/archive/discovery/stasisly_definition/agents/05_REVISOR_DE_COHERENCIA_DEL_PRODUCTO.md","PROMPT_CREATED","1.0.0","MIGRATE_AND_UPDATE; canonical documentary prompt approved; historical source b9691674949037bdbff18130f3dec71f6926f642 remains unchanged."
"AG-PRO-0004","historical.ux_researcher","UX Researcher","PRODUCT","historical_capabilities","ux_researcher","PRODUCT","","","","historical_prompt_migration","Preserves and updates the historical UX Researcher capability for PRODUCT under Re-foundation boundaries, evidence, testing, and human approval.","SPECIALIST","INDIVIDUAL_CONTRIBUTOR","AG-PRO-0001","","HUMAN_REQUESTED","NOT_AVAILABLE","LOW","USER_SCOPED_DATA","NO_TOOLS","NONE","REQUIRED_BEFORE_REFOUNDATION_ACTIVATION","PROMPT_CREATED","DOCUMENTED_ONLY","docs/archive/discovery/stasisly_definition/agents/06_UX_RESEARCHER.md","PROMPT_CREATED","1.0.0","MIGRATE_AND_UPDATE; canonical documentary prompt approved; historical source b9691674949037bdbff18130f3dec71f6926f642 remains unchanged."
"AG-PRO-0005","historical.ui_designer","UI Designer","PRODUCT","historical_capabilities","ui_designer","PRODUCT","","","","historical_prompt_migration","Preserves and updates the historical UI Designer capability for PRODUCT under Re-foundation boundaries, evidence, testing, and human approval.","DESIGNER","INDIVIDUAL_CONTRIBUTOR","AG-PRO-0001","","HUMAN_REQUESTED","NOT_AVAILABLE","LOW","USER_SCOPED_DATA","NO_TOOLS","NONE","REQUIRED_BEFORE_REFOUNDATION_ACTIVATION","PROMPT_CREATED","DOCUMENTED_ONLY","docs/archive/discovery/stasisly_definition/agents/07_UI_DESIGNER.md","PROMPT_CREATED","1.0.0","MIGRATE_AND_UPDATE; canonical documentary prompt approved; historical source b9691674949037bdbff18130f3dec71f6926f642 remains unchanged."
"AG-PRO-0006","historical.especialista_en_experiencia_conversacional","Especialista en Experiencia Conversacional","PRODUCT","historical_capabilities","especialista_en_experiencia_conversacional","PRODUCT","","","","historical_prompt_migration","Preserves and updates the historical Especialista en Experiencia Conversacional capability for PRODUCT under Re-foundation boundaries, evidence, testing, and human approval.","SPECIALIST","INDIVIDUAL_CONTRIBUTOR","AG-PRO-0001","","HUMAN_REQUESTED","NOT_AVAILABLE","LOW","USER_SCOPED_DATA","NO_TOOLS","NONE","REQUIRED_BEFORE_REFOUNDATION_ACTIVATION","PROMPT_CREATED","DOCUMENTED_ONLY","docs/archive/discovery/stasisly_definition/agents/08_ESPECIALISTA_EN_EXPERIENCIA_CONVERSACIONAL.md","PROMPT_CREATED","1.0.0","MIGRATE_AND_UPDATE; canonical documentary prompt approved; historical source b9691674949037bdbff18130f3dec71f6926f642 remains unchanged."
"AG-PRO-0007","historical.especialista_en_accesibilidad","Especialista en Accesibilidad","PRODUCT","historical_capabilities","especialista_en_accesibilidad","PRODUCT","","","","historical_prompt_migration","Preserves and updates the historical Especialista en Accesibilidad capability for PRODUCT under Re-foundation boundaries, evidence, testing, and human approval.","SPECIALIST","INDIVIDUAL_CONTRIBUTOR","AG-PRO-0001","","HUMAN_REQUESTED","NOT_AVAILABLE","LOW","USER_SCOPED_DATA","NO_TOOLS","NONE","REQUIRED_BEFORE_REFOUNDATION_ACTIVATION","PROMPT_CREATED","DOCUMENTED_ONLY","docs/archive/discovery/stasisly_definition/agents/09_ESPECIALISTA_EN_ACCESIBILIDAD.md","PROMPT_CREATED","1.0.0","MIGRATE_AND_UPDATE; canonical documentary prompt approved; historical source b9691674949037bdbff18130f3dec71f6926f642 remains unchanged."
"AG-PRO-0008","historical.especialista_en_internacionalizaci_n","Especialista en Internacionalización","PRODUCT","historical_capabilities","especialista_en_internacionalizaci_n","PRODUCT","","","","historical_prompt_migration","Preserves and updates the historical Especialista en Internacionalización capability for PRODUCT under Re-foundation boundaries, evidence, testing, and human approval.","SPECIALIST","INDIVIDUAL_CONTRIBUTOR","AG-PRO-0001","","HUMAN_REQUESTED","NOT_AVAILABLE","LOW","USER_SCOPED_DATA","NO_TOOLS","NONE","REQUIRED_BEFORE_REFOUNDATION_ACTIVATION","PROMPT_CREATED","DOCUMENTED_ONLY","docs/archive/discovery/stasisly_definition/agents/10_ESPECIALISTA_EN_INTERNACIONALIZACION.md","PROMPT_CREATED","1.0.0","MIGRATE_AND_UPDATE; canonical documentary prompt approved; historical source b9691674949037bdbff18130f3dec71f6926f642 remains unchanged."
"AG-PRO-0009","historical.especialista_en_gamificaci_n_y_retenci_n","Especialista en Gamificación y Retención","PRODUCT","historical_capabilities","especialista_en_gamificaci_n_y_retenci_n","PRODUCT","","","","historical_prompt_migration","Preserves and updates the historical Especialista en Gamificación y Retención capability for PRODUCT under Re-foundation boundaries, evidence, testing, and human approval.","SPECIALIST","INDIVIDUAL_CONTRIBUTOR","AG-PRO-0001","","HUMAN_REQUESTED","NOT_AVAILABLE","LOW","USER_SCOPED_DATA","NO_TOOLS","NONE","REQUIRED_BEFORE_REFOUNDATION_ACTIVATION","PROMPT_CREATED","DOCUMENTED_ONLY","docs/archive/discovery/stasisly_definition/agents/11_ESPECIALISTA_EN_GAMIFICACION_Y_RETENCION.md","PROMPT_CREATED","1.0.0","MIGRATE_AND_UPDATE; canonical documentary prompt approved; historical source b9691674949037bdbff18130f3dec71f6926f642 remains unchanged."
"AG-PRO-0010","historical.especialista_en_sistemas_de_recomendaci_n","Especialista en Sistemas de Recomendación","PRODUCT","historical_capabilities","especialista_en_sistemas_de_recomendaci_n","PRODUCT","","","","historical_prompt_migration","Preserves and updates the historical Especialista en Sistemas de Recomendación capability for PRODUCT under Re-foundation boundaries, evidence, testing, and human approval.","SPECIALIST","INDIVIDUAL_CONTRIBUTOR","AG-PRO-0001","","HUMAN_REQUESTED","NOT_AVAILABLE","LOW","USER_SCOPED_DATA","NO_TOOLS","NONE","REQUIRED_BEFORE_REFOUNDATION_ACTIVATION","PROMPT_CREATED","DOCUMENTED_ONLY","docs/archive/discovery/stasisly_definition/agents/23_ESPECIALISTA_EN_SISTEMAS_DE_RECOMENDACION.md","PROMPT_CREATED","1.0.0","MIGRATE_AND_UPDATE; canonical documentary prompt approved; historical source b9691674949037bdbff18130f3dec71f6926f642 remains unchanged."
